
----------------------------- live log collection ------------------------------
DEBUG    jax._src.path:path.py:41 etils.epath found. Using etils.epath for file I/O.

tests/test_manifolds.py::test_tangent_norm[PoincareBall-5-10-float64] PASSED [ 35%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-5-float64] PASSED [ 35%]
tests/test_manifolds.py::test_addition[PoincareBall-5-10-float32] PASSED [ 35%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-5-float32] PASSED [ 35%]
tests/test_manifolds.py::test_dist[PoincareBall-5-10-float32] PASSED     [ 35%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-5-10-float32] PASSED [ 36%]
tests/test_manifolds.py::test_ptransp[PoincareBall-5-10-float32] PASSED  [ 36%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-5-10-float32] PASSED [ 36%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-5-float32] PASSED [ 36%]
tests/test_manifolds.py::test_addition[PoincareBall-2-11-float64] PASSED [ 36%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-2-float64] PASSED [ 36%]
tests/test_manifolds.py::test_dist[PoincareBall-2-11-float64] PASSED     [ 36%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-2-11-float64] PASSED [ 36%]
tests/test_manifolds.py::test_ptransp[PoincareBall-2-11-float64] PASSED  [ 37%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-2-11-float64] PASSED [ 37%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-2-float64] PASSED [ 37%]
tests/test_manifolds.py::test_addition[PoincareBall-2-11-float32] PASSED [ 37%]
tests/test_manifolds.py::test_scalar_mul[11-PoincareBall-2-float32] PASSED [ 37%]
tests/test_manifolds.py::test_dist[PoincareBall-2-11-float32] PASSED     [ 37%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-2-11-float32] PASSED [ 37%]
tests/test_manifolds.py::test_ptransp[PoincareBall-2-11-float32] PASSED  [ 37%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-2-11-float32] PASSED [ 37%]
tests/test_manifolds.py::test_gyration[11-PoincareBall-2-float32] PASSED [ 38%]
tests/test_manifolds.py::test_addition[PoincareBall-2-10-float64] PASSED [ 38%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-2-float64] PASSED [ 38%]
tests/test_manifolds.py::test_dist[PoincareBall-2-10-float64] PASSED     [ 38%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-2-10-float64] PASSED [ 38%]
tests/test_manifolds.py::test_ptransp[PoincareBall-2-10-float64] PASSED  [ 38%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-2-10-float64] PASSED [ 38%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-2-float64] PASSED [ 38%]
tests/test_manifolds.py::test_addition[PoincareBall-2-10-float32] PASSED [ 39%]
tests/test_manifolds.py::test_scalar_mul[10-PoincareBall-2-float32] PASSED [ 39%]
tests/test_manifolds.py::test_dist[PoincareBall-2-10-float32] PASSED     [ 39%]
tests/test_manifolds.py::test_expmap_retraction_logmap[PoincareBall-2-10-float32] PASSED [ 39%]
tests/test_manifolds.py::test_ptransp[PoincareBall-2-10-float32] PASSED  [ 39%]
tests/test_manifolds.py::test_tangent_norm[PoincareBall-2-10-float32] PASSED [ 39%]
tests/test_manifolds.py::test_gyration[10-PoincareBall-2-float32] PASSED [ 39%]
tests/test_manifolds.py::test_addition[Euclidean-10-12-float32] PASSED   [ 39%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-10-float32] PASSED [ 39%]
tests/test_manifolds.py::test_dist[Euclidean-10-12-float32] PASSED       [ 40%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-10-12-float32] PASSED [ 40%]
tests/test_manifolds.py::test_ptransp[Euclidean-10-12-float32] PASSED    [ 40%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-10-12-float32] PASSED [ 40%]
tests/test_manifolds.py::test_gyration[12-Euclidean-10-float32] SKIPPED  [ 40%]
tests/test_manifolds.py::test_addition[Hyperboloid-10-11-float64] SKIPPED [ 40%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-10-float64] PASSED [ 40%]
tests/test_manifolds.py::test_dist[Hyperboloid-10-11-float64] PASSED     [ 40%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-10-11-float64] PASSED [ 40%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-10-11-float64] PASSED  [ 41%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-10-11-float64] PASSED [ 41%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-10-float64] SKIPPED [ 41%]
tests/test_manifolds.py::test_addition[Hyperboloid-10-11-float32] SKIPPED [ 41%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-10-float32] PASSED [ 41%]
tests/test_manifolds.py::test_dist[Hyperboloid-10-11-float32] PASSED     [ 41%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-10-11-float32] PASSED [ 41%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-10-11-float32] PASSED  [ 41%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-10-11-float32] PASSED [ 42%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-10-float32] SKIPPED [ 42%]
tests/test_manifolds.py::test_addition[Hyperboloid-10-10-float64] SKIPPED [ 42%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-10-float64] PASSED [ 42%]
tests/test_manifolds.py::test_dist[Hyperboloid-10-10-float64] PASSED     [ 42%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-10-10-float64] PASSED [ 42%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-10-10-float64] PASSED  [ 42%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-10-10-float64] PASSED [ 42%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-10-float64] SKIPPED [ 42%]
tests/test_manifolds.py::test_addition[Hyperboloid-10-10-float32] SKIPPED [ 43%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-10-float32] PASSED [ 43%]
tests/test_manifolds.py::test_dist[Hyperboloid-10-10-float32] PASSED     [ 43%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-10-10-float32] PASSED [ 43%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-10-10-float32] PASSED  [ 43%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-10-10-float32] PASSED [ 43%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-10-float32] SKIPPED [ 43%]
tests/test_manifolds.py::test_addition[Euclidean-10-11-float64] PASSED   [ 43%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-10-float64] PASSED [ 43%]
tests/test_manifolds.py::test_dist[Euclidean-10-11-float64] PASSED       [ 44%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-10-11-float64] PASSED [ 44%]
tests/test_manifolds.py::test_ptransp[Euclidean-10-11-float64] PASSED    [ 44%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-10-11-float64] PASSED [ 44%]
tests/test_manifolds.py::test_gyration[11-Euclidean-10-float64] SKIPPED  [ 44%]
tests/test_manifolds.py::test_addition[Euclidean-10-11-float32] PASSED   [ 44%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-10-float32] PASSED [ 44%]
tests/test_manifolds.py::test_dist[Euclidean-10-11-float32] PASSED       [ 44%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-10-11-float32] PASSED [ 45%]
tests/test_manifolds.py::test_ptransp[Euclidean-10-11-float32] PASSED    [ 45%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-10-11-float32] PASSED [ 45%]
tests/test_manifolds.py::test_gyration[11-Euclidean-10-float32] SKIPPED  [ 45%]
tests/test_manifolds.py::test_addition[Euclidean-10-10-float64] PASSED   [ 45%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-10-float64] PASSED [ 45%]
tests/test_manifolds.py::test_dist[Euclidean-10-10-float64] PASSED       [ 45%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-10-10-float64] PASSED [ 45%]
tests/test_manifolds.py::test_ptransp[Euclidean-10-10-float64] PASSED    [ 45%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-10-10-float64] PASSED [ 46%]
tests/test_manifolds.py::test_gyration[10-Euclidean-10-float64] SKIPPED  [ 46%]
tests/test_manifolds.py::test_addition[Euclidean-10-10-float32] PASSED   [ 46%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-10-float32] PASSED [ 46%]
tests/test_manifolds.py::test_dist[Euclidean-10-10-float32] PASSED       [ 46%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-10-10-float32] PASSED [ 46%]
tests/test_manifolds.py::test_ptransp[Euclidean-10-10-float32] PASSED    [ 46%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-10-10-float32] PASSED [ 46%]
tests/test_manifolds.py::test_gyration[10-Euclidean-10-float32] SKIPPED  [ 46%]
tests/test_manifolds.py::test_addition[Hyperboloid-2-12-float32] SKIPPED [ 47%]
tests/test_manifolds.py::test_scalar_mul[12-Hyperboloid-2-float32] PASSED [ 47%]
tests/test_manifolds.py::test_dist[Hyperboloid-2-12-float32] PASSED      [ 47%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-2-12-float32] PASSED [ 47%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-2-12-float32] PASSED   [ 47%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-2-12-float32] PASSED [ 47%]
tests/test_manifolds.py::test_gyration[12-Hyperboloid-2-float32] SKIPPED [ 47%]
tests/test_manifolds.py::test_addition[Euclidean-5-12-float64] PASSED    [ 47%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-5-float64] PASSED  [ 48%]
tests/test_manifolds.py::test_dist[Euclidean-5-12-float64] PASSED        [ 48%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-5-12-float64] PASSED [ 48%]
tests/test_manifolds.py::test_ptransp[Euclidean-5-12-float64] PASSED     [ 48%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-5-12-float64] PASSED [ 48%]
tests/test_manifolds.py::test_gyration[12-Euclidean-5-float64] SKIPPED   [ 48%]
tests/test_manifolds.py::test_addition[Euclidean-5-12-float32] PASSED    [ 48%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-5-float32] PASSED  [ 48%]
tests/test_manifolds.py::test_dist[Euclidean-5-12-float32] PASSED        [ 48%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-5-12-float32] PASSED [ 49%]
tests/test_manifolds.py::test_ptransp[Euclidean-5-12-float32] PASSED     [ 49%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-5-12-float32] PASSED [ 49%]
tests/test_manifolds.py::test_gyration[12-Euclidean-5-float32] SKIPPED   [ 49%]
tests/test_manifolds.py::test_addition[Euclidean-2-12-float64] PASSED    [ 49%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-2-float64] PASSED  [ 49%]
tests/test_manifolds.py::test_dist[Euclidean-2-12-float64] PASSED        [ 49%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-2-12-float64] PASSED [ 49%]
tests/test_manifolds.py::test_ptransp[Euclidean-2-12-float64] PASSED     [ 50%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-2-12-float64] PASSED [ 50%]
tests/test_manifolds.py::test_gyration[12-Euclidean-2-float64] SKIPPED   [ 50%]
tests/test_manifolds.py::test_addition[Euclidean-2-12-float32] PASSED    [ 50%]
tests/test_manifolds.py::test_scalar_mul[12-Euclidean-2-float32] PASSED  [ 50%]
tests/test_manifolds.py::test_dist[Euclidean-2-12-float32] PASSED        [ 50%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-2-12-float32] PASSED [ 50%]
tests/test_manifolds.py::test_ptransp[Euclidean-2-12-float32] PASSED     [ 50%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-2-12-float32] PASSED [ 50%]
tests/test_manifolds.py::test_gyration[12-Euclidean-2-float32] SKIPPED   [ 51%]
tests/test_manifolds.py::test_addition[Hyperboloid-5-10-float32] SKIPPED [ 51%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-5-float32] PASSED [ 51%]
tests/test_manifolds.py::test_dist[Hyperboloid-5-10-float32] PASSED      [ 51%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-5-10-float32] PASSED [ 51%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-5-10-float32] PASSED   [ 51%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-5-10-float32] PASSED [ 51%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-5-float32] SKIPPED [ 51%]
tests/test_manifolds.py::test_addition[Hyperboloid-2-11-float64] SKIPPED [ 51%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-2-float64] PASSED [ 52%]
tests/test_manifolds.py::test_dist[Hyperboloid-2-11-float64] PASSED      [ 52%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-2-11-float64] PASSED [ 52%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-2-11-float64] PASSED   [ 52%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-2-11-float64] PASSED [ 52%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-2-float64] SKIPPED [ 52%]
tests/test_manifolds.py::test_addition[Hyperboloid-2-11-float32] SKIPPED [ 52%]
tests/test_manifolds.py::test_scalar_mul[11-Hyperboloid-2-float32] PASSED [ 52%]
tests/test_manifolds.py::test_dist[Hyperboloid-2-11-float32] PASSED      [ 53%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-2-11-float32] PASSED [ 53%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-2-11-float32] PASSED   [ 53%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-2-11-float32] PASSED [ 53%]
tests/test_manifolds.py::test_gyration[11-Hyperboloid-2-float32] SKIPPED [ 53%]
tests/test_manifolds.py::test_addition[Hyperboloid-2-10-float64] SKIPPED [ 53%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-2-float64] PASSED [ 53%]
tests/test_manifolds.py::test_dist[Hyperboloid-2-10-float64] PASSED      [ 53%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-2-10-float64] PASSED [ 53%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-2-10-float64] PASSED   [ 54%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-2-10-float64] PASSED [ 54%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-2-float64] SKIPPED [ 54%]
tests/test_manifolds.py::test_addition[Hyperboloid-2-10-float32] SKIPPED [ 54%]
tests/test_manifolds.py::test_scalar_mul[10-Hyperboloid-2-float32] PASSED [ 54%]
tests/test_manifolds.py::test_dist[Hyperboloid-2-10-float32] PASSED      [ 54%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Hyperboloid-2-10-float32] PASSED [ 54%]
tests/test_manifolds.py::test_ptransp[Hyperboloid-2-10-float32] PASSED   [ 54%]
tests/test_manifolds.py::test_tangent_norm[Hyperboloid-2-10-float32] PASSED [ 54%]
tests/test_manifolds.py::test_gyration[10-Hyperboloid-2-float32] SKIPPED [ 55%]
tests/test_manifolds.py::test_addition[Euclidean-5-11-float32] PASSED    [ 55%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-5-float32] PASSED  [ 55%]
tests/test_manifolds.py::test_dist[Euclidean-5-11-float32] PASSED        [ 55%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-5-11-float32] PASSED [ 55%]
tests/test_manifolds.py::test_ptransp[Euclidean-5-11-float32] PASSED     [ 55%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-5-11-float32] PASSED [ 55%]
tests/test_manifolds.py::test_gyration[11-Euclidean-5-float32] SKIPPED   [ 55%]
tests/test_manifolds.py::test_addition[Euclidean-5-10-float64] PASSED    [ 56%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-5-float64] PASSED  [ 56%]
tests/test_manifolds.py::test_dist[Euclidean-5-10-float64] PASSED        [ 56%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-5-10-float64] PASSED [ 56%]
tests/test_manifolds.py::test_ptransp[Euclidean-5-10-float64] PASSED     [ 56%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-5-10-float64] PASSED [ 56%]
tests/test_manifolds.py::test_gyration[10-Euclidean-5-float64] SKIPPED   [ 56%]
tests/test_manifolds.py::test_addition[Euclidean-5-10-float32] PASSED    [ 56%]
tests/test_manifolds.py::test_scalar_mul[10-Euclidean-5-float32] PASSED  [ 56%]
tests/test_manifolds.py::test_dist[Euclidean-5-10-float32] PASSED        [ 57%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-5-10-float32] PASSED [ 57%]
tests/test_manifolds.py::test_ptransp[Euclidean-5-10-float32] PASSED     [ 57%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-5-10-float32] PASSED [ 57%]
tests/test_manifolds.py::test_gyration[10-Euclidean-5-float32] SKIPPED   [ 57%]
tests/test_manifolds.py::test_addition[Euclidean-2-11-float32] PASSED    [ 57%]
tests/test_manifolds.py::test_scalar_mul[11-Euclidean-2-float32] PASSED  [ 57%]
tests/test_manifolds.py::test_dist[Euclidean-2-11-float32] PASSED        [ 57%]
tests/test_manifolds.py::test_expmap_retraction_logmap[Euclidean-2-11-float32] PASSED [ 57%]
tests/test_manifolds.py::test_ptransp[Euclidean-2-11-float32] PASSED     [ 58%]
tests/test_manifolds.py::test_tangent_norm[Euclidean-2-11-float32] PASSED [ 58%]
tests/test_manifolds.py::test_gyration[11-Euclidean-2-float32] SKIPPED   [ 58%]
tests/test_manifolds_jax.py::test_addition[Euclidean-2-float32] 
-------------------------------- live log setup --------------------------------
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming convert_element_type for pjit in 0.000327826 sec
DEBUG    jax._src.xla_bridge:xla_bridge.py:460 No jax_plugins namespace packages available
DEBUG    jax._src.xla_bridge:xla_bridge.py:895 Initializing backend 'cpu'
DEBUG    jax._src.xla_bridge:xla_bridge.py:909 Backend 'cpu' initialized
DEBUG    jax._src.xla_bridge:xla_bridge.py:895 Initializing backend 'tpu'
INFO     jax._src.xla_bridge:xla_bridge.py:822 Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(convert_element_type) with global shapes and types (ShapedArray(float32[1]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(convert_element_type) in 0.007488251 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: bf221689798a35f6444761fb3b862c3171955292410e8e7330323d3617511e13
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: bf221689798a35f6444761fb3b862c3171955292410e8e7330323d3617511e13
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: aa0f3b5e5a58208d86060954f2e89627a10f255e4d68ab57b49805327ce855d0
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: dc89c05061f8a3d77fae4d2192f81ddf4f8b238ca31f8729037f337dedfc374e
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: dc89c05061f8a3d77fae4d2192f81ddf4f8b238ca31f8729037f337dedfc374e
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 4c989d112684bca3bc7a561cf5e9c04c1693a91ed6fc0412005fe9e7644dd1d1
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: e678a7bcc2e5a87b94372ef0a594e9973e7d68ea22402eda09f4db3da571caf6
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: 8b40e22259d6ccb90ba573959ec1bdf63ca8387b9f0d7c47c74eb1cb5658ad82
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: faecede644dbb1e526d177e03f0a2a33febad6589cb908ed76880e0c27a884bb
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: faecede644dbb1e526d177e03f0a2a33febad6589cb908ed76880e0c27a884bb
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_convert_element_type' with key 'jit_convert_element_type-faecede644dbb1e526d177e03f0a2a33febad6589cb908ed76880e0c27a884bb'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_convert_element_type' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(convert_element_type) in 0.009021521 sec
-------------------------------- live log call ---------------------------------
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming split for pjit in 0.000369549 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(split) with global shapes and types (ShapedArray(float32[15000,2]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(split) in 0.003899574 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 25a958f8682c6b49fa4f49df636e35406060f8396146b81581a7496e2b5a2184
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 25a958f8682c6b49fa4f49df636e35406060f8396146b81581a7496e2b5a2184
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: fdd099361344b8126737d9c71277a5afd59863f6fe72446e7f01cbd0655c915b
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 806d0b0f3e9a5b93d04910a93ffac5ede56b2f6acc4e357e3fb3cd8e80b8373e
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 806d0b0f3e9a5b93d04910a93ffac5ede56b2f6acc4e357e3fb3cd8e80b8373e
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 72414d33b87d9bc7dc117792f17108240cf0fc89dcfd758dbc1c570ebb89f4be
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: b7806d7973a8925e168db962faeaef9950c461ceb927fd240b8f0ecb6ba08ddf
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: ce05bed91fa77152d0e54553b0970857edb3535e2a6cc21f880c7922bcdaca5f
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: ec1d0ab01f894f5df38a9f6f978ae63ae8cb845666cee1cda22ae27fdb3939ba
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: ec1d0ab01f894f5df38a9f6f978ae63ae8cb845666cee1cda22ae27fdb3939ba
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_split' with key 'jit_split-ec1d0ab01f894f5df38a9f6f978ae63ae8cb845666cee1cda22ae27fdb3939ba'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_split' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(split) in 0.013304710 sec
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming convert_element_type for pjit in 0.000227928 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(convert_element_type) with global shapes and types (ShapedArray(float32[]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(convert_element_type) in 0.001843214 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 04b2deadfdc0faa5d70ce77d5cebba4256444044e9d64562d33b8fdc85786438
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 04b2deadfdc0faa5d70ce77d5cebba4256444044e9d64562d33b8fdc85786438
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: 735aef6038d4961fa4ef8a090bbaf4aa1756de069cfe51319d193254698dc00f
